id,タイトル,説明文,価格,収容人数,住所,評価,サムネイル写真のURL
137,新宿駅徒歩10分！歌舞伎町！キッチン、テラス付！誕生会！女子会！コスプレ撮影！羽田空港深夜到着時深夜バス停留所東新宿駅3分！,"最大4名様まで利用可能です。

アメニティは、シャンプー、コンディショナー、化粧水、髭剃り、ポケットWi-Fi、コーヒー、紅茶など取り揃えています。
鍋、フライパン、包丁、電子レンジ、箸、フォーク、スプーン、コップ、皿、電気ポット等揃っていますので、料理も出来ます。

喫煙はテラスのみで可能!テラスは、3㎡ありとても広く、スライドサッシで閉めてそこで食事やお茶が出来ます。続きを読む","￥1,600/時間, ￥1,500/1時間～￥2,500/1時間, ￥20,000/日, ￥20,000/0日間",〜4人,東京都新宿区歌舞伎町２丁目,5,https://cdnspacemarket.com/uploads/attachments/406380/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
138,ゆったり寛げるゆるふわスペース【Blue＋Green】＃パーティー＃オフ会＃ママ会＃鑑賞会＃＃ヲタ会＃夜行バスなどに！,"【映像関係】・大型テレビ ・DVDプレーヤー型ホームプロジェクター ・大型スクリーン ・延長コード ・wi-fi完備

【キッチン】・3口コンロ ・グリル ・冷蔵庫/冷凍庫 ・炊飯器 ・電気ケトル ・たこ焼きホットプレート ・ジャンボたこ焼き器 ・電子レンジ ・トースター ・ドルチェグスト 

【調理器具】・鍋数種類 ・フライパン数種類 ・土鍋（大・中）・ボウル ・ザル  ・計量カップ ・料理用スケール ・ワインクーラー ・缶詰切り器 ・ワインオープナー ・ピーラー ・キッチンバサミ ・包丁数本 ・おたま ・フライ返し ・穴あきおたま ・はし ・スプーン ・皿数種類 ・グラス ・マグカップ ・ワイングラス ・おちょこ/とっくりetc続きを読む","￥500～￥1,600/時間",〜10人,東京都新宿区歌舞伎町2-2-21,4.66,https://cdnspacemarket.com/uploads/attachments/418345/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
139,最大16名/新宿・新宿三丁目/プロジェクタ/高速wi-fi無料/ホワイトボード/新宿格安会議室,"〈立地〉 
新宿三丁目駅から徒歩2分 
新宿駅から徒歩9分 
の伊勢丹・マルイ付近にある貸し会議室です。 

★この会議室から徒歩１分！42名収容OK!プロジェクター無料! 
└https://www.spacee.jp/listings/5790 

〈収容人数〉 
・最大16名までご着席頂けます。 
人数ごとのご使用感は以下です。 

◯1名〜12名 
└かなりゆとりをもってお使い頂けます。 

◯13〜14名 
└特に狭さを感じることなくご利用頂けます。 

◯15〜16名 
└少し手狭ですが、着席してセミナーを受講されたり、作業される分には全く問題ございません。トイレの利用時にトイレのドア前の方に立って頂く必要はございません。 

〈室内の設備〉 
・会議用折りたたみ机 6脚 
・会議用椅子（全席イトーキ製マノス）16脚 
・ホワイトボード　1台 
・Wi-fi（PTP-Link製高性能無線LAN使用。16名同時接続対応可能） 
・プロジェクター（D-sub HDMI端子接続）　１台 
・自立型プロジェクタースクリーン　１台 
・D-sub端子ケーブル １本 
・D-sub→HDMI変換プラグ１本 
※iPadとiPhone等のスマホ・タブレットは接続が未確認の状況です。ご利用される際は内見にて事前確認をよろしくお願い致します。 
・複数電源延長コード ６コンセント口　4本 


〈周辺施設〉 
・同じ建物の１階にローソンが入っています。 
・スターバックス、ルノアールが徒歩３分圏内にございます。 
・ドラッグストア、スーパー、マルイ、伊勢丹、100円ショップが徒歩３分圏内にございます。 
・周辺には駐車場が多数ございます（当スペースからの案内はございません。お客様ご自身でご手配ください） 
続きを読む","￥100～￥2,080/時間",〜16人,東京都新宿区新宿5-11-13博雅ビル６０２,0,https://cdnspacemarket.com/uploads/attachments/447286/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
140,【神楽坂駅3分】ほっこり古民家／配信動画／キッチン／飯田橋駅 ／江戸川橋駅／最大13人 ＃wifi ＃宅飲み ＃ママ会 　　,"・撮影スタジオ、ロケ撮影／Youtubeなどの動画撮影
・ママ会、誕生会
・パーティー・飲み会・歓迎会・送別会
・NETFLIX、Amazon Prime、DAZN、TVer鑑賞（冬はコタツに入りながら無料鑑賞いただけます。※DVDはございません）
・社内研修・会議・ワークショップ
・イベント・各種習い事（英会話など）
・コスプレ利用・撮影OK

◎キッチン備品

《加熱調理設備》
◯2口ガスコンロ
◯電子レンジ
◯ホットプレート
※オーブンはありません

《調理器具》
・フライパン１
・鍋3
・土鍋（蓋はありません）
・まな板4
・包丁1
・網ボウル1
・計量カップ
・計量スプーン
・キッチンハサミ
・栓抜き
・電子レンジ
※炊飯器はありません


《食器類》
中皿12枚、深皿6枚、グラス×6、ワイングラス×8、フォーク・スプーン×4

※その他必要な備品については予約リクエスト時にお問い合わせください

【使用上の注意】
◎住宅街にある一軒家のため近隣住民への配慮をお願いします。
大きな声や音を出すと近隣の方々のご迷惑となるため退出をお願いする場合もございます。

◎出入りの際、家の前でお話ししないよう、特にご注意をお願いいたします。
お待ち合わせなど、当スペース前で立ち止まってのお話はご遠慮ください。

◎室内は禁煙です。キッチンの換気扇の下でのみ喫煙OK

◎近隣へのゴミ捨ては厳禁（ゴミ出しお願い1800円プランをご利用ください）

◎スペースの前で駐車は絶対にお止め下さい。私道のため近隣の方にに許可を撮る必要があります。
※徒歩すぐの場所に有料の駐車場が2箇所ありますのでそちらをご利用くださいませ。

◎2Fスペースはご利用いただけません（和室オプションは除く）
★防犯を目的として防犯カメラを設置しておりますので予めご了承ください★
続きを読む","￥1,700～￥7,000/時間",〜15人,東京都新宿区赤城下町(詳細はお申し込み後にお伝えいたします),4.75,https://cdnspacemarket.com/uploads/attachments/400203/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
141,新宿区　四谷　荒木町屋上　撮影に絶好の立地です。商用撮影、個人撮影、コスプレ撮影にも最適,"全て込みのお値段になります。

ムービー、スチール共通、格安スペースです。
続きを読む","￥4,000/時間",〜20人,東京都新宿区荒木町15サンシャトー四谷　９階屋上,4.79,https://cdnspacemarket.com/uploads/attachments/438704/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
142,【高田馬場最安値！】駅から30秒|こだわりスペース|200㎡|24h|スポーツ、イベント、撮影、パーティー等,"【付帯施設】
バーカウンター：ドリンク類の販売を行っております。
パウダールーム：女性専用でシャワーなどをご利用いただけます。

【無料貸出】
・Wi-Fi
・バレエバー
・音響機器（アンプ、スピーカー）
・椅子、テーブル
・プロジェクター
・ホワイトボード
・クーラーボックス
・脚立
etc....

【有償貸出】
・撮影用照明機材
・ヨガマット
・DJ機材
etc....続きを読む","￥500～￥19,500/時間",〜200人,東京都新宿区高田馬場1-1-13 セントエルモ西早稲田　地下１Ｆ,4.5,https://cdnspacemarket.com/uploads/attachments/431997/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
143,【東新宿・新宿三丁目】Wi-Fi・プロジェクター完備！アクセス良好のオシャレ空間！,"Wi-Fi&プロジェクター&30インチPCモニターを利用しての会議や映画鑑賞会。
ホットプレート（3WAY）やIHクッキングヒーターを利用してパーティーを開催。その他キッチン用品（皿、茶碗、箸、鍋、など）がかなり充実。
高級なリクライニングソファでサロン利用。
TV＆ブルーレイ対応レコーダー＆オイルヒーター、扇風機もあり、
用途に合わせフルスペックな空間を実現！
続きを読む","￥850～￥1,480/時間",〜8人,東京都新宿区新宿6-28,4.54,https://cdnspacemarket.com/uploads/attachments/381729/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
144,【新宿駅/大久保駅】リクライニングチェア/ダイニングテーブル/バリスタコーヒーメーカー完備！8名収容★サロン/会議,"◇◇◇◇◇◇◇設備◇◇◇◇◇◇◇ 　※（詳細）【数】

《机・椅子》
・リクライニングチェア（全自動/180°リクライニング）【1】
・ダイニングテーブルセット
　テーブル（75×110 ）【1】
　椅子【4】
・簡易スツール（背もたれなし）【1】
・キャスター付きスツール（背もたれなし）【1】
・折りたたみ椅子【2】
・折りたたみテーブル（37.5×48）【1】

《ヘアアイテム》
・アイロン【1】
・コテ（19mm・26mm ）【1ずつ】
・ドライヤー【1】

《その他》
・テレビ（26inchi）【1】
・プロジェクター（LionWell LW80）【1】
・Blu-rayプレーヤー（DMP-BD90）【1】
・ケトル【1】
・電子レンジ（〜600W）【1】
・バリスタコーヒーメーカー（1杯100円）
・扇風機（ベランダにございます）【1】
・黒のフェイスタオル（34×76）【〜6/前後のご予約により使える枚数が異なります】
・ホットアイピロー【1】
・アロマディフューザー（アロマオイルはございません）【1】
・スリッパ（室内は土足厳禁です。）【8】
・トイレ（ミラーあり）【1】
・シンク（お湯が出ます。コンロは使用禁止です）【1】
・エレベーター

※当スペースはトラブル防止の為、防犯カメラを設置させていただいております。
　予めご了承ください。続きを読む","￥500～￥1,450/時間, ￥9,900/日",〜8人,東京都新宿区西新宿7-6,4.88,https://cdnspacemarket.com/uploads/attachments/252759/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
145,丸ノ内線 新宿御苑駅徒歩2分！クラッシー新宿御苑（プロジェクター・50インチモニタ設置）最大32名,"20名だと、ゆったり使うイメージとなります。
最大32名までは着座可能でございます。
最近は、TV撮影でのご利用が増えております。
当ビルは、24時間でのご利用が可能ですので、静かな深夜帯での撮影をオススメいたします。

【施設】
本施設は、壁紙・床、エアコン等、全てリフォーム済みです。
清掃も定期的に行っており、会議やセミナー等へ来訪いただく方に清潔感のある空間をご提供いたします。

【定期的なご利用について】
スクールやセミナー等、定期的なご利用は別途お見積りいたしますので、お問い合わせ下さい。

【設備】
●無料WiFi（最大64台同時接続）
●テーブル7台（1800×450　3名掛け用）
　※セミナー実施時は、机7台×3名掛け＝21名+予備椅子11脚
●椅子32脚
●演台（セミナー講師用）
　※セミナー実施時には、テーブル７台×３名＝計21名と椅子のみ6名　最大27名まで着席可能です。
●50インチモニタ（RGBケーブル10m／HDMI変換／ライトニング変換　用意あり）
　※テレビ視聴：地デジのみ可
●マイク　1本（スピーカーあり）
●EPSON社製　EB-S04  プロジェクタ配備完了（RGBケーブル10m／HDMIケーブル／Mini DP変換　用意あり）
●80インチスクリーン配備完了（移動可能）
●ホーロー製の高級ホワイトボード　2台（①幅1800mm×高さ905mm　②幅1200mm×高さ900mm）
●電源タップ（5m6個口×2／5m7個口×1）
●文房具類（ハサミ、カッター、ホチキス、のり等）
●電気ポット
●IHコンロ

※注意※
●ゴミはご自身で持ち帰りください。 ゴミを放置された場合掃除費用として、1万円頂戴いたします。 
●当施設は、禁煙です。ベランダでの喫煙も不可とします。喫煙が発覚した場合、クリーニング費用として、3万円頂戴いたします。続きを読む","￥1,980～￥3,480/時間, ￥19,800～￥24,800/日",〜32人,東京都新宿区東京都新宿区新宿1丁目13-9オフィス・パークインビル４階,4.5,https://cdnspacemarket.com/uploads/attachments/390743/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
146,新宿　四谷　飲食店の雰囲気そのまま　和風レンタルスペース。各種パーティー、イベント、撮影等に最適です。,"設備

業務用2口ミニコンロ、冷蔵庫中、電子レンジ×2、2槽式シンク、炊飯器、電気ケトル、フライパン、鍋各種多数、調理器具各種多数、和食器大〜小計100枚以上、寿司桶各種100以上、CDプレイヤー、空気清浄器。

８～９人がけカウンター、5人がけローテーブル×1、２人がけテーブル×２、カウンターチェア×12、続きを読む","￥3,000～￥5,000/時間, ￥19,000/日",〜18人,東京都新宿区荒木町15サンシャトー四谷　２０２,4.76,https://cdnspacemarket.com/uploads/attachments/77437/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
147,【奥神楽坂】小粋な空間を活用して、ミニパーティーしませんか？教室、会議、茶会・・・パーキングスペース（小型車、駐輪）あります！,"奥神楽坂にひっそり佇む小粋な隠れ家スペースです。企業様のミーティング利用、キッチン（ＩＨコンロ）をご利用してのパーティー、、ほか、各種教室、読書会、試写会、カードゲーム、ボードゲーム、撮影会、撮影スタジオ、、など、アクセスのよい好空間を生かした様々な用途でご利用頂けます。
エントランス前に駐車（小型車程度まで）・駐輪スペースもあり、このスペースを活用した屋外展示・販売なども可能です。
wifi、ホワイトボード、コピー機、案内看板なども準備しております。
（設備については、今後できるだけご利用者様のご要望に応えられるよう充実を図ってまいります。）

●○● BRUNO コンパクトホットプレート キャンペーン中！●○●
「BRUNO コンパクトホットプレート」では、たこ焼きやお鍋はもちろん、
SNS映え間違いなしのパエリヤやアヒージョなどたくさんのパーティーメニューをお作りいただけます！！
ぜひBRUNOコンパクトホットプレートを使って愉しい時間をお過ごしください！続きを読む","￥3,500～￥4,000/時間, ￥25,000/日",〜15人,東京都新宿区赤城下町32番地岡田ビル１階,4.81,https://cdnspacemarket.com/uploads/drawings/558/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
148,パーティーOK【アクセス抜群】新宿駅徒歩2分、新宿三丁目駅出口横,無料WIFIあり。有線インターネットも可能。ホワイトボードあり。電源延長コード分岐あり。プロジェクター貸し出し可能（有料）続きを読む,"￥98～￥1,680/時間",〜12人,東京都新宿区新宿4-2-25三ツ星不動産ビル７Ｆ,4.68,https://cdnspacemarket.com/uploads/attachments/414016/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
149,【新宿三丁目駅1分・新宿駅4分】【高速WiFi無料】完全個室型の格安レンタルスペース・会議室　カラメル新宿三丁目店,"【概要】
新宿三丁目駅から徒歩1分、新宿駅から徒歩4分！8名程度までご利用いただける完全個室型の格安多目的レンタルスペース（貸し会議室）が2018年1月4日オープンしました！

6名前後のご利用に最適な広さ（10.05㎡）です。
会議や研修、セミナー・ワークショップ、パーティ・飲み会、個展・展示会、撮影会、趣味・習い事など、幅広いイベントにご利用いただけるレンタルスペース（貸し会議室）です。

【設備】
電源 WiFI プロジェクター（有料） ホワイトボード 机x1 椅子x8（2脚は小さい丸椅子） 水道（流し台） トイレ コート掛け　パーテーション

【清掃に関して】
ご利用前の状態に回復させる程度の清掃を行っていただいてます。清掃を依頼される場合は有料です。
机のレイアウトを自由に変えても構いませんが、退出の際は元に戻してお帰りください。続きを読む","￥1,380～￥1,580/時間, ￥6,250/5時間～￥18,000/9時間, ￥33,000/1日間",〜8人,東京都新宿区新宿新宿永谷タウンプラザ５０７,4.22,https://cdnspacemarket.com/uploads/attachments/264303/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
150,036⭐️新年会、歓迎会にぴったり⭐️【新宿】最大20人ご利用可能✨カラオケ歌い放題！,"普段はBARとして営業していますので、お店として必要なものは全て揃っております。

仲間同士でパーティー、結婚式の二次会・三次会、勉強会、撮影会、コスプレ会、ワイン会、女子会、ママ会、お誕生日会、1dayレストラン＆バーなど自由なスペースとしてご利用ください。

続きを読む","￥3,320～￥5,980/時間",〜20人,東京都新宿区新宿2-18-1,4.16,https://cdnspacemarket.com/uploads/attachments/373790/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
151,【西新宿駅 徒歩１分】レンタルスペース『Crave西新宿』　個室/最大12名/Wi-Fi,"西新宿駅から徒歩30秒の場所ですので非常に便利な場所です。
部屋の広さは18㎡のワンルームで
さらに4畳くらいのサンルームがありますので広く感じます
人数は6名くらいがゆったり利用できます。
180cm✕45cmのテーブルが３つと背もたれ付きの椅子が６つ、丸椅子が６つあります。
Wi-Fiが利用でき、ホワイトボードがあります
会場は2階ですがエレベータはなく、ビルの男女共同トイレです。

エアコンや電源もありますので。
会議室、商談、PCスペース、セミナー、教室、ボードゲーム等、様々なビジネス用途にご利用いただけます。 

ゴミ箱がありませんのでゴミはお持ち帰りお願いします。
禁煙です。
飲み物は可能ですが食事は禁止です。
マイク、楽器等、大きな音が鳴るものなどは利用できません。
大声を出さないようにお願いします。
利用後はエアコンや電気の消灯お願いします。
毎回利用ごとの清掃はしておりません。次の方が気持ちよく利用出来るように、清掃道具を置いてますので汚れているときはテーブルを拭いてご退出お願いします。
ゴミ箱がありません。ゴミはお持ち帰りお願いします。
前のお客様や後ろのお客様との時間の余裕がありませんので、準備が必要な場合やかたずけのお時間も考慮して予約をお願いします。前利用者の退室等でクレームになる場合もあります。その場合はこちらで対応しかねますので利用者同士でお話合いください。

お客様より、タバコのにおいや部屋の状態でクレームを頂くことが希にございます。
ご指摘があったお客様の前の方に関しましては次回以降の予約をキャンセルさせて
頂くことがございますのでご了承お願いします。
また、タバコのにおいについてはクリーニング費用を請求させていただくことがございます。続きを読む","￥99～￥1,790/時間, ￥9,580～￥11,900/日",〜12人,東京都新宿区西新宿8-5-7輿石ビル　２０１号室,4.29,https://cdnspacemarket.com/uploads/attachments/254783/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
152,【新大久保駅から徒歩5分】ＧＷもお値段据え置き！友達の家感覚で使えるフリースペース！,"家電一式、食器・調理器具等は揃えてあります。
その他にテレビ、ゲーム機、プロジェクター、Bluetooth対応スピーカー、たこ焼き器、ホットプレートなどのご用意がございます。
詳しくはご予約時にお問い合わせください。続きを読む","￥800～￥1,500/時間",〜12人,東京都新宿区百人町1丁目,4.77,https://cdnspacemarket.com/uploads/attachments/380155/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
153,【新宿御苑前駅1分!新宿三丁目駅5分】いちご貸会議室(新宿御苑)49インチ大型モニター、wifi有！,"【収容人数】最大10名収容可能
机や椅子は折りたたんでコンパクトにまとめることが可能ですので、椅子だけの場合、予備椅子を含めて10席の小セミナー等も対応可能です。 
移動できて書きやすいホワイトボードがあり、トイレはお部屋の中にあります。 

【設備】
ミーティングチェア(8個）、折り畳み椅子(2個)
折り畳み可能な幅120cm×奥行45cmの2人用テーブル(4台)
ホワイトボード幅1200×奥行45（１台）、電源タップ、無料Wi-Fi、49インチモニター

レイアウトは自由に変更いただいて構いませんが、お帰りの際には机を元の長方形に戻していただきますようお願いいたします。 

【推奨用途】
会議、打ち合わせ、商談、セミナー、勉強会、研修会、説明会、面接、教室、自習、読書、ゲーム、着替え、休憩 
※お一人でのご利用も大歓迎
※拠点として長時間ご利用したい場合（荷物置き場等）、事前にご相談ください。 

【禁止用途】
飲み会、料理、カラオケ、ダンス、楽器演奏、歌唱練習、演劇練習、風俗店の待機所、AV撮影、反社会的な集会や活動 
※大声や騒音、振動、臭い、ゴミ、風貌など近隣のご迷惑になる可能性のある用途での使用はお断りします

ご利用後のレビューにご協力いただけますと幸いです。
皆様のご協力により清潔かつ快適な会議室を低価格にてご提供できております。いつもご利用ありがとうございます。 

【Wi-Fi設置（フレッツ光）】
※接続情報は別途お送りする予約メールにてご案内いたします。
※利用にあたってのセキュリティ設定は、お客様自身の責任において行っていただくようにお願いします。
※定期的に弊社にて接続チェックを行っております。本サービスのご利用・予期せぬ停止や不良が原因となり発生した損失や損害については、当社は一切の責任は負いかねますので、予めご了承ください。続きを読む","￥1,050～￥1,300/時間",〜10人,東京都新宿区新宿2-2-10サニープラザ新宿御苑ビル８０３号室,5,https://cdnspacemarket.com/uploads/attachments/409387/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
154,新宿西口駅徒歩3分！青梅街道沿い！「貸し会議室のクラッシー　新宿西口店」設備全て無料！,"【営業時間】
　6時　～　23時
　※夜間23時　～　早朝6時までは、ビル玄関がオートロックとなり、入れません
　　23時までご利用される方は、ビル外へ出れますが戻れませんのでご注意ください

【施設】
本施設は、壁紙・床、リフォーム済みです。
机や椅子、プロジェクター含めた備品も全て新品！

【定期的なご利用について】
スクールやセミナー等、定期的なご利用は別途お見積りいたしますので、お問い合わせ下さい。

【設備】
●高速無料WiFi導入済
●テーブル5台（1800×450　3名掛け用）
●テーブル5台（1800×450　3名掛け用）
●椅子20脚
　※セミナー実施時には、テーブル5台×３名＝計15名と椅子のみ5脚　最大20名まで着席可能です。
●マイク　1本（スピーカーあり）
●BenQ プロジェクター MW632ST 短焦点モデル (DLP/WXGA/3200lm/2.6kg)
（HDMIケーブル／Mini DP変換　用意あり）
●80インチスクリーン（移動可能）
●49インチTVモニタ（移動可能）HDMI接続可能
●ブルーレイデッキ（Panasonic　DMP-BD90）

その他設備につきましては、
●ホーロー製の高級ホワイトボード（幅1200mm×高さ905mm）
●電源タップ（5m7個口×1／2m7個口×1／3m4個口×2）続きを読む","￥1,480～￥2,480/時間, ￥16,800～￥23,800/日",〜20人,東京都新宿区西新宿7丁目11-3平田ビル５階,5,https://cdnspacemarket.com/uploads/drawings/1266/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
155,【隠れ家カフェ貸し切り】イベントや懇親会などに最適！【パーティ利用も！】,"【設備・備品】
・机：2名掛けテーブル 4台
・机：4名掛けテーブル 1台
・固定机：2名掛けテーブル 3台
・固定机：3名掛けテーブル 3台
・椅子：19脚
・ソファー：3台（うち１台は壁に固定）
・プロジェクター(ケーブル、HDMI&Mac用コネクタ有)※有料3000円
・有線マイク。スピーカーSET：1台※有料1500円

【貸し切りスペース料金】
・平日（9：30～21：30）スペース料金
→7500円/３０分（３時間から貸し切り可能）
・土（9：30～21：30）日祝（9：30～19:30）スペース料金
→10000円/３０分（３時間から貸し切り可能）
※スペース料金に、別途ドリンクバー料金500円/人が発生致します。
※最低3時間よりお貸出し続きを読む","￥15,000～￥20,000/時間",〜30人,東京都新宿区西新宿,0,https://cdnspacemarket.com/uploads/attachments/391213/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
156,新宿駅から徒歩4分駅近会議室 最大18名 着席15名収容 おまかせレンタルスペース貸会議室,"▼設備 

・移動式会議室用テーブル（キャスター付 折りたたみ可）
W1800mm×D450mm 3台 W1200mm×D450mm 3台
合計6台
（※キャスター付なのでかんたんにレイアウト組み替え可能です） 

・椅子
会議室用チェア15脚 予備用パイプイス6脚 合計26脚 

・ホワイトボード 1台 1200mm×900mm 両面使用可

・電源
通常電源7点 マルチタップ6口×2点 マルチタップ3口×1点

・Wifi（光回線）

・プロジェクター（有料オプション 4,000円）
貸出端末：EPSON EB-S05

・コートハンガー

・簡易な文具（ハサミ、ノリ、筆記用具等）

・トイレ ウォシュレット完備

・ブラインド完備続きを読む","￥500～￥1,900/時間",〜18人,東京都新宿区西新宿7-15-12豊栄ビル２Ｆ　２０２号室,4,https://cdnspacemarket.com/uploads/drawings/1381/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
157,Live Wire High Voltage Cafe （マイクロシアター電撃座：落語公演時）,Wifi、60インチの大型モニター、JBLのホール用PA、ワイヤレスマイク、照明、落語用高座、座布団、楽屋、劇場仕様の5連スライドチェアｘ10、プロジェクター続きを読む,"￥3,000～￥10,000/時間, ￥30,000/日",〜50人,東京都新宿区新宿5−12−1新宿氷業ビル３Ｆ,0,https://cdnspacemarket.com/uploads/attachments/229623/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
158,＜新宿三丁目駅徒歩8分＞ドリンク付き！清潔＆綺麗なキッチン付きのレンタルスペース！パーティー、女子会、ママ友会におススメ♪,"◇スペース概要
キッチンを含むイベントルーム（約50平米）・キッチン・トイレ

◇収容人数
・着席最大：16名　
・立席最大：35名
※上限以上の人数になる場合は事前にご相談ください。

◇設備・備品
・空調（冷暖房）：2台
・Wi-Fi
・長テーブル：3脚（16名掛け）
・椅子：16脚
・ハンバーラック：1台
・ハンガー：14個
・ホワイトボード：1台
・ごみ箱：2個
・プロジェクター：1台
・音響設備：1台

◇キッチン備品
・冷蔵庫
・冷凍庫
・IHコンロ（3つ口）
・食洗器
※キッチンスペースは現在準備中です※

＜禁止事項＞
・スペース内での喫煙行為
・スペースの汚損、破損行為
・当日出たゴミを無断で置いて帰ること続きを読む","￥1,200～￥3,000/時間",〜35人,東京都新宿区新宿5-3-15アンプラン新宿,0,https://cdnspacemarket.com/uploads/drawings/1668/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
159,【新宿最安値級！】キッチンあり！カフェ風バー丸ごと貸出♪深夜OK！大きな音OK！イベントほか各種ニーズに合わせた料金設定♪,"キッチン設備とカウンターがあるバーの丸ごと貸出です。
製氷機や調味料、キッチン用品も揃えております。

深夜、夜通しの貸切もOK！もちろん騒ぎ放題OKとなっております。

【歌舞伎町でカフェスタイル！】
新宿には珍しく落ち着けるおしゃれで清潔感もあるアットホームなカフェスタイルなので女子会・ママ会などにもオススメ！使い方を限定しない様々な用途にお使い頂いております。

【４０インチ大型モニター＆DVD・ブルーレイ再生機・ホワイトボード】
大型のモニターあり。落ち着けるゆったりソファのある空間でホームパーティ感も出せます。ホワイトボード付きで会議にも！深夜、酒持ち込み有でアットホームな環境でアイデア出しも捗ります。

【人気ボードゲーム・パーティゲーム完備】
人狼や人気ボードゲーム・カードゲームも完備♪ライトなルールのものが多いので、交流会にどうぞ♪（設置ボドゲの種類・ルール等はお気軽にお尋ねください）

【通常営業設備がそのまま！】
普段はバーとしても営業しているため、そのまま疑似的なカフェやバー営業もできちゃいます♪たこ焼き機も使用でき、ホムパ風のパーティもできちゃいます♪

【各種プラン】
会議のみ、長時間貸切、１日丸ごと貸切など利用用途に応じたお得なプランが多数あります♪

【飲食付きプランあり】
プロの料理人による調理つきプランあり！会議利用からパーティまでお客様に合わせた様々なカスタマイズが可能です！続きを読む","￥2,980～￥4,980/時間, ￥1,250/1時間～￥16,980/6時間, ￥35,000/日",〜18人,東京都新宿区歌舞伎町2-13-4第六金嶋ビル　４１０,4.41,https://cdnspacemarket.com/uploads/attachments/320117/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
160,【駅徒歩4分】バルコニー付きのおしゃれなリノベーション空間！会議・開発合宿・写真撮影・女子会に最適！,"●室内設備
・電源
・風呂/シャワー
・無料Wi-Fi
・電子レンジ

●備品
・無料コーヒー
・PCモニター2台
・椅子20脚
・テーブル3つ
・会議室x2部屋

※調理器具等は包丁・ボウルなどを含め、基本的に全てご持参ください。
※当スペースはトラブル防止のため防犯カメラを設置しておりますので予めご了承ください。
※当施設は全面禁煙となっております。テラスでの喫煙も禁止しておりますので、予めご了承ください。続きを読む","￥2,000/時間, ￥15,000/日",〜20人,東京都新宿区舟町10-17四谷コーポ　４０１　,4.9,https://cdnspacemarket.com/uploads/attachments/390284/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
161,ボタニカル🌿インスタ映え 大人数でまったり🎈女子会/誕生日/ママ会/撮影/上映会/ゲーム会,"ゴロゴロに最適なビーズクッション、ハンモック有！
たこ焼き、ホットプレート完備！冷蔵庫有🎐
24時間、朝までパーティーOK
プロジェクターで映画、ゲーム、大画面鑑賞可能！

👾利用用途

パーティー🎈
・女子会、ママ会、バースデー、記念日、クリスマス
・オリンピック、サッカー、スポーツ観戦
・タコパ、パジャマパーティ、お家デート
・歓送迎会、同期会、宅飲み

ビジネス 👞
・商用撮影、物撮り、CM、TV番組、動画撮影
・ドラマ、ロケ撮影、ミュージックビデオ撮影
・打ち合わせ、ワークショップ、展示会
・トークショー、セミナー

その他 🏡
・ヨガ、占い、英会話、コスプレ、勉強会
・終電後の朝まで滞在、朝活

様々な用途でご利用いただけます👐🏻
終電を逃してカラオケ・ネットカフェに行くくらいなら、この広々スペースで楽しみましょう🧚‍♀


⚠ 必ずお守り下さい
防音施設ではございませんので近隣住民の方へご配慮ください。
お守り頂けない場合は即時利用停止となりますので予めご了承下さいませ。続きを読む","￥1,500/時間, ￥20,000/日",〜20人,東京都新宿区大久保2−21−10ジュネス大久保１０１,0,https://cdnspacemarket.com/uploads/attachments/440793/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
